Pet ID,Species,Breed,Age,Symptoms,Medical Health,Treatment,Weight (kg),Owner ID,Checkup Date
PET0035,Bird,Parakeet,10,Diarrhea,Chronic Illness,Medication,33.1,OWN0035,2022-02-04
PET0036,Hamster,Syrian,12,Sneezing,Chronic Illness,Surgery,6.29,OWN0036,2022-02-05
PET0037,Bird,Canary,10,Vomiting,Healthy,Surgery,6.81,OWN0037,2022-02-06
PET0038,Hamster,Syrian,1,Diarrhea,Critical,Observation,31.71,OWN0038,2022-02-07
PET0039,Dog,Bulldog,2,Vomiting,Minor Illness,Medication,24.84,OWN0039,2022-02-08
PET0040,Cat,Sphynx,9,Vomiting,Recovering,Surgery,2.27,OWN0040,2022-02-09
PET0041,Rabbit,Holland Lop,8,Sneezing,Chronic Illness,None,25.09,OWN0041,2022-02-10
PET0042,Dog,Labrador,14,Lethargy,Minor Illness,Therapy,12.7,OWN0042,2022-02-11
PET0043,Rabbit,Lionhead,3,Diarrhea,Critical,Surgery,15.06,OWN0043,2022-02-12
PET0044,Cat,Sphynx,8,Sneezing,Healthy,Medication,30.9,OWN0044,2022-02-13
PET0045,Cat,Persian,12,Vomiting,Chronic Illness,Surgery,32.53,OWN0045,2022-02-14
PET0046,Dog,Bulldog,1,Sneezing,Minor Illness,Therapy,16.31,OWN0046,2022-02-15
PET0047,Cat,Persian,10,Lethargy,Minor Illness,Medication,37.91,OWN0047,2022-02-16
PET0048,Hamster,Winter White,4,Diarrhea,Minor Illness,Observation,16.56,OWN0048,2022-02-17
PET0049,Cat,Siamese,3,Lethargy,Critical,Medication,30.99,OWN0049,2022-02-18
PET0050,Rabbit,Holland Lop,6,Coughing,Critical,Observation,19.61,OWN0050,2022-02-19
PET0051,Rabbit,Mini Rex,7,Diarrhea,Critical,Medication,35.95,OWN0051,2022-02-20
PET0052,Rabbit,Holland Lop,4,Lethargy,Recovering,Therapy,36.36,OWN0052,2022-02-21
PET0053,Rabbit,Holland Lop,7,Vomiting,Minor Illness,Therapy,3.95,OWN0053,2022-02-22
PET0054,Hamster,Syrian,9,Diarrhea,Chronic Illness,Medication,37.49,OWN0054,2022-02-23
PET0055,Bird,Parakeet,11,Diarrhea,Critical,Surgery,33.11,OWN0055,2022-02-24
PET0056,Dog,Bulldog,2,Sneezing,Critical,Therapy,31.76,OWN0056,2022-02-25
PET0057,Rabbit,Lionhead,11,Vomiting,Minor Illness,Observation,8.44,OWN0057,2022-02-26
PET0058,Cat,Persian,3,Coughing,Critical,Observation,32.3,OWN0058,2022-02-27
PET0059,Rabbit,Mini Rex,5,Lethargy,Recovering,None,34.08,OWN0059,2022-02-28
PET0060,Cat,Sphynx,3,Sneezing,Recovering,Observation,11.92,OWN0060,2022-03-01
PET0061,Cat,Sphynx,11,Lethargy,Critical,None,38.11,OWN0061,2022-03-02
PET0062,Rabbit,Lionhead,8,Coughing,Minor Illness,Medication,2.47,OWN0062,2022-03-03
PET0063,Hamster,Chinese,12,Coughing,Minor Illness,Medication,6.42,OWN0063,2022-03-04
PET0064,Cat,Maine Coon,10,Diarrhea,Minor Illness,Medication,21.73,OWN0064,2022-03-05
PET0065,Cat,Sphynx,8,Coughing,Healthy,Surgery,23.24,OWN0065,2022-03-06
PET0066,Rabbit,Netherland Dwarf,8,Lethargy,Critical,Surgery,25.98,OWN0066,2022-03-07
PET0067,Cat,Siamese,12,Vomiting,Minor Illness,None,1.17,OWN0067,2022-03-08
PET0068,Cat,Bengal,12,Vomiting,Recovering,Observation,38.43,OWN0068,2022-03-09
PET0069,Rabbit,Flemish Giant,9,Diarrhea,Chronic Illness,Observation,2.26,OWN0069,2022-03-10
PET0070,Rabbit,Lionhead,4,Lethargy,Chronic Illness,Medication,6.15,OWN0070,2022-03-11
PET0071,Dog,Bulldog,5,Lethargy,Minor Illness,Therapy,1.05,OWN0071,2022-03-12
PET0072,Hamster,Winter White,5,Coughing,Chronic Illness,Surgery,22.89,OWN0072,2022-03-13
PET0073,Hamster,Winter White,8,Lethargy,Chronic Illness,Surgery,37.32,OWN0073,2022-03-14
PET0074,Cat,Maine Coon,7,Sneezing,Healthy,Medication,26.8,OWN0074,2022-03-15
PET0075,Hamster,Winter White,9,Coughing,Recovering,Surgery,32.99,OWN0075,2022-03-16
PET0076,Cat,Persian,14,Sneezing,Recovering,Medication,1.02,OWN0076,2022-03-17
PET0077,Dog,Poodle,8,Diarrhea,Healthy,None,21.91,OWN0077,2022-03-18
PET0078,Rabbit,Netherland Dwarf,2,Vomiting,Healthy,Observation,18.65,OWN0078,2022-03-19
PET0079,Rabbit,Holland Lop,10,Diarrhea,Chronic Illness,Therapy,20.21,OWN0079,2022-03-20
PET0080,Rabbit,Netherland Dwarf,12,Vomiting,Critical,Observation,3.35,OWN0080,2022-03-21
PET0081,Hamster,Syrian,4,Diarrhea,Chronic Illness,Observation,27.54,OWN0081,2022-03-22
PET0082,Dog,Labrador,6,Lethargy,Healthy,None,20.38,OWN0082,2022-03-23
PET0083,Hamster,Dwarf Campbell,12,Sneezing,Recovering,Surgery,30.72,OWN0083,2022-03-24
PET0084,Hamster,Roborovski,2,Vomiting,Chronic Illness,Therapy,19.67,OWN0084,2022-03-25
PET0085,Dog,Terrier,7,Coughing,Critical,Surgery,6.4,OWN0085,2022-03-26
PET0086,Dog,Terrier,3,Sneezing,Chronic Illness,Observation,26.11,OWN0086,2022-03-27
PET0087,Dog,Labrador,13,Coughing,Minor Illness,Medication,7.31,OWN0087,2022-03-28
PET0088,Dog,Labrador,3,Sneezing,Chronic Illness,Observation,34.96,OWN0088,2022-03-29
PET0089,Rabbit,Lionhead,11,Sneezing,Healthy,Surgery,24.72,OWN0089,2022-03-30
PET0090,Bird,Parakeet,2,Diarrhea,Recovering,Observation,6.71,OWN0090,2022-03-31
PET0091,Bird,Canary,11,Vomiting,Recovering,Medication,38.51,OWN0091,2022-04-01
PET0092,Dog,Labrador,8,Vomiting,Healthy,None,20.98,OWN0092,2022-04-02
PET0093,Bird,Cockatiel,6,Sneezing,Minor Illness,Surgery,3.38,OWN0093,2022-04-03
PET0094,Bird,Finch,1,Lethargy,Healthy,Observation,25.26,OWN0094,2022-04-04
PET0095,Dog,Beagle,12,Lethargy,Chronic Illness,Surgery,10.5,OWN0095,2022-04-05
PET0096,Bird,Finch,1,Coughing,Healthy,None,32.25,OWN0096,2022-04-06
PET0097,Hamster,Dwarf Campbell,7,Coughing,Healthy,Observation,32.8,OWN0097,2022-04-07
PET0098,Cat,Persian,8,Diarrhea,Minor Illness,Observation,39.17,OWN0098,2022-04-08
PET0099,Cat,Siamese,5,Sneezing,Chronic Illness,Surgery,20.32,OWN0099,2022-04-09
PET0100,Dog,Poodle,12,Coughing,Critical,Surgery,18.47,OWN0100,2022-04-10
PET0101,Rabbit,Lionhead,11,Coughing,Critical,Medication,30.26,OWN0101,2022-04-11
PET0102,Dog,Terrier,5,Sneezing,Recovering,None,5.73,OWN0102,2022-04-12
PET0103,Rabbit,Mini Rex,4,Diarrhea,Healthy,Medication,22.1,OWN0103,2022-04-13
PET0104,Cat,Siamese,14,Coughing,Recovering,Observation,22.08,OWN0104,2022-04-14
PET0105,Dog,Labrador,6,Diarrhea,Minor Illness,Surgery,4.03,OWN0105,2022-04-15
PET0106,Hamster,Chinese,14,Vomiting,Critical,Observation,17.01,OWN0106,2022-04-16
PET0107,Bird,Cockatiel,6,Diarrhea,Healthy,Observation,34.2,OWN0107,2022-04-17
PET0108,Rabbit,Netherland Dwarf,3,Lethargy,Minor Illness,Therapy,34.32,OWN0108,2022-04-18
PET0109,Bird,Finch,9,Lethargy,Minor Illness,Therapy,4.42,OWN0109,2022-04-19
PET0110,Bird,Parrot,12,Diarrhea,Healthy,Observation,4.08,OWN0110,2022-04-20
PET0111,Dog,Poodle,11,Lethargy,Minor Illness,Surgery,10.88,OWN0111,2022-04-21
PET0112,Bird,Finch,14,Vomiting,Healthy,Observation,35.05,OWN0112,2022-04-22
PET0113,Hamster,Chinese,7,Sneezing,Healthy,Therapy,5.59,OWN0113,2022-04-23
PET0114,Bird,Cockatiel,1,Lethargy,Chronic Illness,Surgery,28.94,OWN0114,2022-04-24
PET0115,Dog,Labrador,13,Lethargy,Recovering,Observation,4.5,OWN0115,2022-04-25
PET0116,Hamster,Roborovski,7,Diarrhea,Minor Illness,None,25.11,OWN0116,2022-04-26
PET0117,Cat,Siamese,5,Vomiting,Minor Illness,None,14.56,OWN0117,2022-04-27
PET0118,Bird,Canary,5,Sneezing,Chronic Illness,Observation,31.66,OWN0118,2022-04-28
PET0119,Dog,Bulldog,14,Diarrhea,Chronic Illness,Surgery,9.73,OWN0119,2022-04-29
PET0120,Cat,Persian,13,Diarrhea,Chronic Illness,Observation,25.75,OWN0120,2022-04-30
PET0121,Cat,Siamese,2,Vomiting,Critical,Observation,9.81,OWN0121,2022-05-01
PET0122,Rabbit,Holland Lop,4,Sneezing,Critical,Therapy,28.69,OWN0122,2022-05-02
PET0123,Hamster,Winter White,12,Vomiting,Critical,None,35.01,OWN0123,2022-05-03
PET0124,Bird,Finch,6,Sneezing,Healthy,Therapy,5.51,OWN0124,2022-05-04
PET0125,Dog,Poodle,10,Vomiting,Minor Illness,Therapy,34.73,OWN0125,2022-05-05
PET0126,Rabbit,Netherland Dwarf,11,Diarrhea,Recovering,Observation,23.95,OWN0126,2022-05-06
PET0127,Hamster,Chinese,7,Diarrhea,Healthy,Therapy,5.52,OWN0127,2022-05-07
PET0128,Rabbit,Lionhead,11,Coughing,Minor Illness,None,17.39,OWN0128,2022-05-08
PET0129,Hamster,Winter White,5,Lethargy,Minor Illness,Therapy,6.85,OWN0129,2022-05-09
PET0130,Hamster,Dwarf Campbell,9,Vomiting,Chronic Illness,None,28.16,OWN0130,2022-05-10
PET0131,Bird,Canary,3,Coughing,Chronic Illness,Therapy,30.48,OWN0131,2022-05-11
PET0132,Hamster,Winter White,1,Lethargy,Healthy,None,4.68,OWN0132,2022-05-12
PET0133,Rabbit,Flemish Giant,4,Vomiting,Chronic Illness,Therapy,20.49,OWN0133,2022-05-13
PET0134,Hamster,Winter White,9,Sneezing,Minor Illness,Therapy,32.68,OWN0134,2022-05-14
PET0135,Bird,Parakeet,4,Lethargy,Chronic Illness,Surgery,37.48,OWN0135,2022-05-15
PET0136,Bird,Cockatiel,2,Diarrhea,Critical,None,20.78,OWN0136,2022-05-16
PET0137,Rabbit,Mini Rex,10,Coughing,Chronic Illness,None,38.04,OWN0137,2022-05-17
PET0138,Cat,Siamese,14,Lethargy,Minor Illness,None,21.66,OWN0138,2022-05-18
PET0139,Cat,Persian,14,Lethargy,Healthy,Medication,16.07,OWN0139,2022-05-19
PET0140,Hamster,Winter White,5,Diarrhea,Recovering,Therapy,34.0,OWN0140,2022-05-20
PET0141,Dog,Terrier,3,Vomiting,Chronic Illness,None,19.97,OWN0141,2022-05-21
PET0142,Hamster,Roborovski,13,Sneezing,Minor Illness,Medication,19.14,OWN0142,2022-05-22
PET0143,Rabbit,Netherland Dwarf,12,Diarrhea,Recovering,Surgery,19.87,OWN0143,2022-05-23
PET0144,Rabbit,Lionhead,13,Sneezing,Recovering,None,33.95,OWN0144,2022-05-24
PET0145,Rabbit,Netherland Dwarf,9,Vomiting,Critical,None,33.36,OWN0145,2022-05-25
PET0146,Rabbit,Lionhead,4,Lethargy,Recovering,Medication,16.44,OWN0146,2022-05-26
PET0147,Rabbit,Mini Rex,6,Sneezing,Minor Illness,Therapy,13.67,OWN0147,2022-05-27
PET0148,Bird,Cockatiel,2,Coughing,Minor Illness,Surgery,19.93,OWN0148,2022-05-28
PET0149,Cat,Siamese,6,Coughing,Chronic Illness,None,23.12,OWN0149,2022-05-29
PET0150,Rabbit,Lionhead,3,Diarrhea,Chronic Illness,Therapy,9.91,OWN0150,2022-05-30
PET0151,Dog,Bulldog,12,Vomiting,Chronic Illness,Surgery,31.86,OWN0151,2022-05-31
PET0152,Dog,Labrador,12,Diarrhea,Recovering,Observation,19.72,OWN0152,2022-06-01
PET0153,Dog,Poodle,9,Diarrhea,Recovering,Observation,13.69,OWN0153,2022-06-02
PET0154,Dog,Poodle,11,Diarrhea,Critical,Surgery,4.72,OWN0154,2022-06-03
PET0155,Bird,Parrot,2,Coughing,Chronic Illness,Medication,9.93,OWN0155,2022-06-04
PET0156,Dog,Terrier,12,Coughing,Healthy,Surgery,38.0,OWN0156,2022-06-05
PET0157,Rabbit,Lionhead,12,Diarrhea,Critical,Surgery,12.55,OWN0157,2022-06-06
PET0158,Hamster,Winter White,9,Coughing,Healthy,Medication,7.17,OWN0158,2022-06-07
PET0159,Dog,Labrador,5,Vomiting,Recovering,Medication,18.7,OWN0159,2022-06-08
PET0160,Bird,Cockatiel,8,Diarrhea,Critical,Therapy,12.63,OWN0160,2022-06-09
PET0161,Bird,Canary,2,Coughing,Critical,Therapy,1.89,OWN0161,2022-06-10
PET0162,Dog,Bulldog,6,Sneezing,Minor Illness,Medication,13.26,OWN0162,2022-06-11
PET0163,Hamster,Roborovski,3,Diarrhea,Recovering,Observation,21.99,OWN0163,2022-06-12
PET0164,Dog,Bulldog,12,Diarrhea,Recovering,Observation,22.29,OWN0164,2022-06-13
PET0165,Bird,Cockatiel,12,Vomiting,Critical,Surgery,14.58,OWN0165,2022-06-14
PET0166,Cat,Maine Coon,14,Lethargy,Recovering,None,18.17,OWN0166,2022-06-15
PET0167,Rabbit,Mini Rex,10,Lethargy,Critical,Surgery,38.64,OWN0167,2022-06-16
PET0168,Bird,Canary,5,Vomiting,Minor Illness,Surgery,15.41,OWN0168,2022-06-17
PET0169,Dog,Labrador,12,Vomiting,Critical,None,10.7,OWN0169,2022-06-18
PET0170,Rabbit,Lionhead,8,Vomiting,Recovering,Medication,10.12,OWN0170,2022-06-19
PET0171,Dog,Beagle,10,Lethargy,Recovering,Observation,18.58,OWN0171,2022-06-20
PET0172,Dog,Beagle,14,Vomiting,Critical,Surgery,30.5,OWN0172,2022-06-21
PET0173,Cat,Maine Coon,1,Coughing,Critical,None,8.64,OWN0173,2022-06-22
PET0174,Rabbit,Mini Rex,5,Diarrhea,Critical,Therapy,28.52,OWN0174,2022-06-23
PET0175,Rabbit,Netherland Dwarf,3,Diarrhea,Chronic Illness,Surgery,1.34,OWN0175,2022-06-24
PET0176,Cat,Bengal,4,Sneezing,Recovering,Observation,17.05,OWN0176,2022-06-25
PET0177,Bird,Canary,2,Sneezing,Recovering,Medication,31.15,OWN0177,2022-06-26
PET0178,Dog,Terrier,9,Diarrhea,Chronic Illness,Surgery,13.88,OWN0178,2022-06-27
PET0179,Hamster,Winter White,3,Coughing,Critical,Surgery,22.77,OWN0179,2022-06-28
PET0180,Dog,Bulldog,2,Lethargy,Minor Illness,None,8.6,OWN0180,2022-06-29
PET0181,Dog,Beagle,10,Lethargy,Critical,Therapy,29.81,OWN0181,2022-06-30
PET0182,Bird,Cockatiel,11,Coughing,Critical,Therapy,2.57,OWN0182,2022-07-01
PET0183,Dog,Poodle,9,Lethargy,Chronic Illness,Medication,34.18,OWN0183,2022-07-02
PET0184,Cat,Siamese,7,Vomiting,Recovering,Observation,8.33,OWN0184,2022-07-03
PET0185,Cat,Siamese,6,Diarrhea,Critical,Medication,35.04,OWN0185,2022-07-04
PET0186,Rabbit,Holland Lop,1,Diarrhea,Recovering,Surgery,14.42,OWN0186,2022-07-05
PET0187,Hamster,Dwarf Campbell,5,Coughing,Healthy,Surgery,29.05,OWN0187,2022-07-06
PET0188,Dog,Bulldog,12,Lethargy,Recovering,Therapy,13.11,OWN0188,2022-07-07
PET0189,Dog,Terrier,11,Sneezing,Minor Illness,Observation,36.28,OWN0189,2022-07-08
PET0190,Bird,Finch,14,Sneezing,Minor Illness,None,5.5,OWN0190,2022-07-09
PET0191,Cat,Maine Coon,11,Lethargy,Critical,Observation,7.55,OWN0191,2022-07-10
PET0192,Hamster,Dwarf Campbell,3,Sneezing,Recovering,Surgery,19.97,OWN0192,2022-07-11
PET0193,Rabbit,Holland Lop,1,Coughing,Critical,None,3.74,OWN0193,2022-07-12
PET0194,Cat,Persian,4,Coughing,Chronic Illness,Observation,8.24,OWN0194,2022-07-13
PET0195,Rabbit,Flemish Giant,13,Lethargy,Minor Illness,Observation,37.78,OWN0195,2022-07-14
PET0196,Bird,Parakeet,2,Sneezing,Critical,None,39.07,OWN0196,2022-07-15
PET0197,Bird,Cockatiel,2,Coughing,Chronic Illness,Surgery,15.36,OWN0197,2022-07-16
PET0198,Dog,Terrier,3,Coughing,Critical,Observation,36.97,OWN0198,2022-07-17
PET0199,Hamster,Chinese,8,Vomiting,Recovering,None,22.02,OWN0199,2022-07-18
PET0200,Rabbit,Flemish Giant,8,Vomiting,Recovering,Surgery,11.15,OWN0200,2022-07-19
PET0201,Cat,Bengal,12,Coughing,Recovering,None,28.24,OWN0201,2022-07-20
PET0202,Bird,Canary,7,Lethargy,Recovering,None,26.53,OWN0202,2022-07-21
PET0203,Dog,Bulldog,6,Diarrhea,Healthy,Observation,39.57,OWN0203,2022-07-22
PET0204,Dog,Poodle,9,Diarrhea,Chronic Illness,Surgery,10.97,OWN0204,2022-07-23
PET0205,Rabbit,Holland Lop,4,Coughing,Chronic Illness,Observation,27.05,OWN0205,2022-07-24
PET0206,Bird,Parakeet,12,Coughing,Recovering,Medication,2.55,OWN0206,2022-07-25
PET0207,Hamster,Syrian,1,Coughing,Healthy,Medication,4.99,OWN0207,2022-07-26
PET0208,Bird,Canary,8,Lethargy,Recovering,Surgery,0.65,OWN0208,2022-07-27
PET0209,Rabbit,Holland Lop,7,Vomiting,Healthy,None,39.98,OWN0209,2022-07-28
PET0210,Rabbit,Netherland Dwarf,7,Coughing,Recovering,Observation,32.19,OWN0210,2022-07-29
PET0211,Bird,Finch,3,Coughing,Minor Illness,Observation,31.58,OWN0211,2022-07-30
PET0212,Rabbit,Netherland Dwarf,4,Sneezing,Minor Illness,Surgery,20.63,OWN0212,2022-07-31
PET0213,Bird,Canary,10,Lethargy,Critical,Surgery,12.35,OWN0213,2022-08-01
PET0214,Cat,Sphynx,9,Coughing,Recovering,Medication,6.47,OWN0214,2022-08-02
PET0215,Bird,Parakeet,6,Sneezing,Chronic Illness,Therapy,11.74,OWN0215,2022-08-03
PET0216,Bird,Parakeet,5,Diarrhea,Critical,Surgery,15.35,OWN0216,2022-08-04
PET0217,Rabbit,Lionhead,3,Coughing,Minor Illness,Therapy,30.37,OWN0217,2022-08-05
PET0218,Rabbit,Lionhead,9,Coughing,Recovering,Surgery,21.82,OWN0218,2022-08-06
PET0219,Dog,Bulldog,5,Sneezing,Critical,None,3.56,OWN0219,2022-08-07
PET0220,Dog,Terrier,5,Lethargy,Recovering,None,1.21,OWN0220,2022-08-08
PET0221,Cat,Bengal,14,Coughing,Minor Illness,Medication,4.54,OWN0221,2022-08-09
PET0222,Dog,Terrier,4,Diarrhea,Critical,Medication,16.71,OWN0222,2022-08-10
PET0223,Bird,Finch,14,Coughing,Minor Illness,Therapy,37.36,OWN0223,2022-08-11
PET0224,Rabbit,Holland Lop,4,Diarrhea,Healthy,Surgery,25.68,OWN0224,2022-08-12
PET0225,Dog,Poodle,12,Vomiting,Minor Illness,Observation,32.17,OWN0225,2022-08-13
PET0226,Dog,Poodle,1,Vomiting,Recovering,Medication,18.92,OWN0226,2022-08-14
PET0227,Cat,Persian,7,Diarrhea,Chronic Illness,Observation,14.79,OWN0227,2022-08-15
PET0228,Cat,Persian,9,Lethargy,Minor Illness,Observation,4.78,OWN0228,2022-08-16
PET0229,Bird,Canary,3,Coughing,Chronic Illness,Surgery,35.1,OWN0229,2022-08-17
PET0230,Rabbit,Netherland Dwarf,12,Coughing,Healthy,Therapy,31.43,OWN0230,2022-08-18
PET0231,Cat,Sphynx,13,Vomiting,Critical,Surgery,7.14,OWN0231,2022-08-19
PET0232,Dog,Bulldog,2,Diarrhea,Critical,Medication,20.73,OWN0232,2022-08-20
PET0233,Rabbit,Holland Lop,3,Coughing,Chronic Illness,Observation,19.75,OWN0233,2022-08-21
PET0234,Rabbit,Lionhead,1,Coughing,Critical,Surgery,25.19,OWN0234,2022-08-22
PET0235,Dog,Terrier,6,Lethargy,Minor Illness,Surgery,37.87,OWN0235,2022-08-23
PET0236,Cat,Siamese,11,Sneezing,Chronic Illness,Surgery,23.4,OWN0236,2022-08-24
PET0237,Dog,Terrier,11,Vomiting,Recovering,Medication,21.84,OWN0237,2022-08-25
PET0238,Rabbit,Mini Rex,7,Vomiting,Minor Illness,Therapy,2.49,OWN0238,2022-08-26
PET0239,Hamster,Roborovski,11,Sneezing,Minor Illness,Surgery,2.98,OWN0239,2022-08-27
PET0240,Hamster,Chinese,11,Coughing,Minor Illness,Medication,7.9,OWN0240,2022-08-28
PET0241,Bird,Canary,2,Lethargy,Recovering,Observation,1.78,OWN0241,2022-08-29
PET0242,Dog,Bulldog,8,Lethargy,Healthy,None,29.86,OWN0242,2022-08-30
PET0243,Dog,Poodle,14,Vomiting,Critical,Medication,29.07,OWN0243,2022-08-31
PET0244,Bird,Finch,6,Lethargy,Chronic Illness,None,5.87,OWN0244,2022-09-01
PET0245,Bird,Finch,14,Sneezing,Healthy,Surgery,33.53,OWN0245,2022-09-02
PET0246,Bird,Parrot,4,Coughing,Chronic Illness,Surgery,6.61,OWN0246,2022-09-03
PET0247,Rabbit,Flemish Giant,5,Sneezing,Critical,Medication,12.4,OWN0247,2022-09-04
PET0248,Dog,Bulldog,8,Diarrhea,Recovering,None,10.33,OWN0248,2022-09-05
PET0249,Rabbit,Mini Rex,14,Vomiting,Minor Illness,Surgery,15.21,OWN0249,2022-09-06
PET0250,Bird,Cockatiel,3,Lethargy,Minor Illness,Observation,10.56,OWN0250,2022-09-07
PET0251,Dog,Terrier,3,Diarrhea,Recovering,Therapy,19.81,OWN0251,2022-09-08
PET0252,Rabbit,Lionhead,14,Lethargy,Healthy,Therapy,16.59,OWN0252,2022-09-09
PET0253,Rabbit,Flemish Giant,14,Coughing,Healthy,Surgery,39.47,OWN0253,2022-09-10
PET0254,Bird,Finch,11,Coughing,Chronic Illness,None,2.71,OWN0254,2022-09-11
PET0255,Dog,Labrador,4,Coughing,Recovering,Surgery,6.12,OWN0255,2022-09-12
PET0256,Bird,Cockatiel,1,Lethargy,Healthy,None,2.59,OWN0256,2022-09-13
PET0257,Dog,Poodle,9,Diarrhea,Recovering,Observation,25.22,OWN0257,2022-09-14
PET0258,Hamster,Roborovski,8,Coughing,Critical,None,2.65,OWN0258,2022-09-15
PET0259,Cat,Siamese,8,Diarrhea,Minor Illness,Surgery,33.54,OWN0259,2022-09-16
PET0260,Cat,Persian,14,Lethargy,Minor Illness,Observation,20.72,OWN0260,2022-09-17
PET0261,Cat,Bengal,10,Diarrhea,Minor Illness,Medication,21.32,OWN0261,2022-09-18
PET0262,Bird,Canary,6,Lethargy,Recovering,Therapy,22.68,OWN0262,2022-09-19
PET0263,Hamster,Winter White,7,Lethargy,Recovering,Surgery,7.25,OWN0263,2022-09-20
PET0264,Dog,Poodle,6,Vomiting,Chronic Illness,Surgery,8.31,OWN0264,2022-09-21
PET0265,Rabbit,Holland Lop,9,Lethargy,Minor Illness,Surgery,13.09,OWN0265,2022-09-22
PET0266,Dog,Labrador,3,Lethargy,Chronic Illness,Observation,23.94,OWN0266,2022-09-23
PET0267,Rabbit,Flemish Giant,14,Sneezing,Minor Illness,Medication,8.8,OWN0267,2022-09-24
PET0268,Dog,Beagle,3,Coughing,Chronic Illness,None,5.1,OWN0268,2022-09-25
PET0269,Hamster,Chinese,3,Vomiting,Chronic Illness,Medication,38.82,OWN0269,2022-09-26
PET0270,Rabbit,Lionhead,10,Vomiting,Critical,Observation,1.37,OWN0270,2022-09-27
PET0271,Bird,Parakeet,3,Vomiting,Chronic Illness,Surgery,32.21,OWN0271,2022-09-28
PET0272,Dog,Labrador,9,Sneezing,Recovering,Therapy,31.63,OWN0272,2022-09-29
PET0273,Dog,Labrador,12,Lethargy,Chronic Illness,Surgery,12.24,OWN0273,2022-09-30
PET0274,Rabbit,Mini Rex,4,Coughing,Minor Illness,None,5.86,OWN0274,2022-10-01
PET0275,Bird,Cockatiel,13,Diarrhea,Chronic Illness,Therapy,6.25,OWN0275,2022-10-02
